id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating,reviews_per_month,neighbourhood
1399530578818772224,No,Marpole,Other,Private room,2,1,1,92,4.29,0.99,Other
1399978090980638976,Yes,West End,Entire rental unit,Entire home/apt,3,1,1,198,NA,NA,Other
1400240816414818816,Yes,Hastings-Sunrise,Other,Entire home/apt,4,2,2,180,4.97,6.35,Other
1400711928373102592,No,Downtown,Entire rental unit,Entire home/apt,2,1,1,236,4.5,0.61,Downtown
1400762862686402816,No,Riley Park,Entire home,Entire home/apt,4,1,2,194,4.71,1.06,Other
1401107726785141248,No,Hastings-Sunrise,Entire home,Entire home/apt,4,2,2,162,4.93,2.61,Other
1401265242979892992,No,Renfrew-Collingwood,Entire home,Entire home/apt,6,1,2,129,4.74,5.07,Other
1401288294333602560,No,Downtown,Entire rental unit,Entire home/apt,2,1,1,122,4.53,2.79,Downtown
1401769114704617472,No,Marpole,Other,Private room,2,1,1,92,4.63,1.18,Other
1401774448178214656,No,Marpole,Private room in home,Private room,2,1,1,92,5,0.6,Other
1401777578492129536,No,Marpole,Private room in home,Private room,4,1,1,106,4.83,1.83,Other
1401798716137390336,No,Fairview,Other,Entire home/apt,4,2.5,2,182,NA,NA,Other
1401951502094496256,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,4,1,1,140,4.71,4.7,Downtown Eastside
1402013189487296512,Yes,Downtown,Entire rental unit,Entire home/apt,4,1,1,160,4.81,5.17,Downtown
1.404564211364e+18,Yes,Downtown Eastside,Entire rental unit,Entire home/apt,4,1,1,252,4.9,5.56,Downtown Eastside
1404702250500141568,No,Downtown,Entire condo,Entire home/apt,5,1,2,131,4.58,3.5,Downtown
1404846645156990464,Unknown,West Point Grey,Entire home,Entire home/apt,12,3.5,5,315,4.78,2.76,Other
1405860710489491200,Yes,Mount Pleasant,Entire rental unit,Entire home/apt,5,1,2,255,5,3.58,Mount Pleasant
1405897921185896704,No,Downtown,Entire rental unit,Entire home/apt,6,2,3,223,4.71,4.59,Downtown
1405923037738599424,No,Mount Pleasant,Private room in home,Private room,2,1,1,113,4.7,2.14,Mount Pleasant
1406027107401112064,Yes,Downtown,Other,Entire home/apt,2,1,0,183,5,1,Downtown
